"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C1,C12,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"10uF";;;
2;"C14,C4,C5,C10,C15,C9,C7,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.1uF";;;
3;"J3";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin";;;
4;"D1,D2,D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"LED";;;
5;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
6;"D5,D7,D6,D8,D9,D4";"LED_RGB_5050-6";6;"APA102";;;
7;"R2,R1,R3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"220";;;
8;"S1,S2,S5,S3,S4";"SW_B3F-1000";5;"B3F-1000";;;
9;"R13,R12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10k";;;
10;"R5,R4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"510";;;
11;"C2,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
12;"U4";"SOIJ8-M_MC_MCH";1;"25LC1024-I/SM";;;
13;"R8,R7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7k";;;
14;"R6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1k";;;
15;"R11,R10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2Meg";;;
16;"FB1";"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"FerriteBead";;;
17;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"8x2 Character LCD";;;
18;"R9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1000R";;;
19;"J8,J7,J5";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Pin";;;
20;"J2";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Pin";;;
21;"J4";"PinSocket_2x05_P1.27mm_Vertical";1;"Conn_02x05_Odd_Even";;;
22;"SW1";"09.03290_EAO";1;"09.03290.01";;;
23;"Q1";"SOT-23_Handsoldering";1;"NPN";;;
24;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
25;"Y1";"XTAL_ABM3-8.000MHZ-D2Y-T";1;"ABM3-8.000MHZ-D2Y-T";;;
26;"U1";"LQFP-80_12x12mm_P0.5mm";1;"MKL25Z128VLK4";;;
27;"U5";"DBV5";1;"OPA377AIDBVR";;;
28;"J6";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
29;"U3";"TO-92_Inline";1;"MCP1700x-330xxTO";;;
